#name      threshold
SRR522130  10
SRR522131  10
SRR522132  10
SRR522133  10
SRR522134  10
SRR522135  10
SRR522136  10
SRR522137  20
SRR522138  20
SRR522139  10
SRR522140  10
SRR522141  10
SRR522142  10
SRR522143  10
SRR522144  10
SRR522145  10
SRR522146  10
SRR522147  10
SRR522148  10
SRR522149  10
SRR522150  10
SRR525258  10
SRR527727  10
SRR527728  10
SRR527729  50
SRR527730  50
SRR527731  1
SRR527732  1
SRR537099  1
SRR537100  1
SRR537101  1
SRR537102  1
SRR537103  3
SRR537104  3
SRR537105  3
SRR537106  3
SRR537107  3
SRR537108  10
SRR537109  10
SRR537110  3
SRR537111  3
SRR537112  3
SRR537113  10
SRR537114  1
SRR537115  1
SRR537116  1
SRR537117  3
SRR537118  10
SRR537119  10
SRR537120  3
SRR537121  3
SRR537122  3
SRR537123  3
SRR537124  1
SRR537125  3
SRR537126  3
SRR537127  10
SRR537128  3
SRR537129  10
SRR537130  1
SRR537131  3
SRR537132  3
SRR543502  10
SRR543503  10
SRR543504  10
SRR543505  10
SRR543506  10
SRR543507  20
SRR543508  10
SRR543509  20
SRR543510  20
SRR543511  20
SRR543512  20
SRR543513  20
SRR543514  20
SRR543515  20
SRR543516  20
SRR543517  20
SRR543518  20
SRR543519  20
SRR543520  10
SRR543521  10
SRR543522  20
SRR543523  20
SRR543524  20
SRR543525  20
SRR543526  20
SRR543527  20
SRR543528  20
SRR543529  20
SRR543530  20
SRR543531  20
SRR543532  3
SRR543533  10
SRR553476  3
SRR553477  10
SRR553478  10
SRR553479  10
SRR553480  3
SRR553481  3
SRR553482  10
SRR553483  10
SRR553572  3
SRR553573  3
SRR553574  1
SRR553575  1
SRR553576  3
SRR556766  20
SRR557138  20
SRR557666  1
SRR557667  1
SRR557668  1
SRR557669  1
SRR557670  1
SRR563525  1
SRR563526  1
SRR563527  1
SRR563528  1
SRR563529  1
SRR563530  1
SRR563531  1
SRR563532  1
SRR563533  1
SRR563534  1
SRR563535  1
SRR563536  1
SRR563537  1
SRR563538  1
SRR563539  1
SRR563540  1
SRR563541  1
SRR563542  1
SRR563543  1
SRR563544  1
SRR563545  1
SRR563546  1
SRR563547  1
SRR563548  1
SRR563549  1
SRR563550  1
SRR563551  1
SRR563552  1
SRR563553  1
SRR563554  1
SRR563555  3
SRR563556  1
SRR563557  1
SRR566986  1
SRR566987  1
SRR566988  1
SRR566989  1
SRR566990  1
SRR566991  1
SRR566992  1
SRR566993  1
SRR566994  1
SRR566995  1
SRR566996  1
SRR566997  1
SRR566998  1
SRR566999  1
SRR567000  1
SRR567001  1
SRR567002  1
SRR567003  1
